Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Implicit Accuracy (tn/(tn+fn))
powdered,161,attr,F1,(cocoa & sugar) | (doughnut & powder) | (pastry & powder) | (pastry & sugar) | (powder & sugar),(sugar | powder) & (doughnut | sugar | pastry) & (pastry | cocoa | powder),0.3518,0.3699,0.3354,54,146,161,106243,52,1782,0.9995107954
cooked,1253,attr,F1,(broccoli & cheese) | (broccoli & chopped) | (broccoli & meat) | (broccoli & sauce) | (cheese & chopped) | (cheese & sauce) | (chopped & meat) | (chopped & sauce) | (meat & sauce),(sauce | chopped | broccoli) & (cheese | sauce | chopped | meat) & (cheese | sauce | broccoli | meat) & (cheese | chopped | broccoli | meat),0.3514,0.293,0.4389,550,1877,1253,102910,297,4870,0.9971222882
blond,3638,attr,F1,(girl & hair) | (hair & malechild) | (hair & woman),hair & (malechild | woman | girl),0.3513,0.2384,0.6674,2428,10183,3638,75720,217,32140,0.997142368
burned,510,attr,F1,(cheese & crust & pizza) | (cooked & crust & pizza) | (cooked & melted & pizza),pizza & (cheese | cooked) & (crust | melted) & (crust | cooked),0.3513,0.3042,0.4157,212,697,510,104010,145,3922,0.9986078441
railwaystation,406,obj,F1,(platform & station) | (platform & traintracks) | (station & traintracks) | (train & trainplatform),(trainplatform & train) | (platform & station) | (platform & traintracks) | (station & traintracks),0.3512,0.2877,0.4507,183,636,406,102783,8,5286,0.9999221722
steeple,648,obj,F1,(church & clock) | (church & clocktower) | (church & cross) | (church & tower) | (clock & tower),(church | clock) & (church | tower) & (clocktower | cross | clock | tower),0.3497,0.2497,0.5833,378,1514,648,101872,120,6085,0.9988234371
screen,3853,obj,F1,(computer) | (keyboard) | (monitor),monitor | keyboard | computer,0.3495,0.4002,0.3101,1195,2986,3853,102433,2658,2986,0.9747076343
line,12139,obj,F1,(car & road) | (car & yellow) | (road & sign) | (road & street) | (road & yellow) | (sign & street) | (sign & yellow) | (street & yellow),(yellow | sign | road) & (yellow | street | road) & (car | yellow | sign | street) & (car | sign | street | road),0.3489,0.3021,0.4129,5012,16589,12139,57259,3661,47157,0.9399047932
slope,973,obj,F1,(ski & skier) | (skier & snow),skier & (ski | snow),0.3481,0.2825,0.4532,441,1561,973,102260,199,5618,0.9980577597
fence,11042,obj,F1,(behind & grass) | (behind & metallic) | (behind & pole) | (behind & tree) | (grass & metallic) | (grass & pole) | (metallic & tree),(metallic | behind | grass) & (metallic | behind | pole) & (behind | grass | tree) & (metallic | grass | tree | pole),0.3476,0.2806,0.4564,5040,17960,11042,46424,1389,60264,0.9709493234
bull,326,obj,F1,(cow & horn) | (police & policeman),(police & policeman) | (cow & horn),0.3475,0.2932,0.4264,139,474,326,104399,68,3610,0.9993490767
roof,5938,obj,F1,(building & house) | (building & sky) | (house & sky) | (house & tree) | (house & window),(building | house) & (sky | house) & (tree | building | window | sky),0.346,0.2631,0.5051,2999,11399,5938,50019,387,57671,0.9923223426
spoon,1531,obj,F1,(bowl & food) | (bowl & fork) | (bowl & napkin) | (bowl & utensil) | (food & utensil) | (fork & napkin) | (fork & utensil),(food | bowl | fork) & (napkin | bowl | utensil) & (bowl | utensil | fork) & (food | napkin | utensil | fork),0.3458,0.2845,0.4409,675,2373,1531,98344,313,9420,0.9968273919
magnet,271,obj,F1,(deep-freeze & electricrefrigerator) | (deep-freeze & refrigerator) | (electricrefrigerator & refrigerator),(deep-freeze & refrigerator) | (deep-freeze & electricrefrigerator) | (refrigerator & electricrefrigerator),0.3455,0.2625,0.5055,137,522,271,106672,25,1380,0.9997656916
child,4669,obj,F1,(blond & malechild) | (blond & young) | (girl & malechild) | (girl & young) | (malechild & shirt) | (malechild & young),(young | malechild) & (blond | malechild | girl) & (young | blond | shirt | girl),0.3447,0.3115,0.3857,1801,5782,4669,74422,1186,32469,0.9843138292
frisbee,1696,obj,F1,(hold & jump) | (hold & play) | (hold & shortpants) | (hold & watch) | (jump & play) | (jump & shortpants) | (jump & watch) | (play & shortpants),(play | hold | jump) & (hold | jump | shortpants) & (play | hold | watch | shortpants) & (play | jump | watch | shortpants),0.3431,0.2941,0.4116,698,2373,1696,93249,381,14447,0.9959307914
pepper,1008,obj,F1,(onion) | (salt) | (tomato),tomato | onion | salt,0.3428,0.2493,0.5486,553,2218,1008,105404,455,2218,0.9957018298
coffeetable,495,obj,F1,(endtable & sofa) | (pillow & sofa) | (sofa & television),sofa & (pillow | television | endtable),0.342,0.2291,0.6747,334,1458,495,102326,33,5718,0.9996776053
cup,3921,obj,F1,(chump & coffee) | (chump & fictile) | (chump & plate) | (chump & table) | (coffee & fictile) | (coffee & plate) | (coffee & table) | (fictile & plate) | (fictile & table) | (plate & table),(coffee & table) | (coffee & chump) | (coffee & fictile) | (coffee & plate) | (table & chump) | (table & fictile) | (table & plate) | (chump & fictile) | (chump & plate) | (fictile & plate),0.3419,0.2657,0.4795,1880,7075,3921,84677,844,22556,0.9901310789
collar,2620,obj,F1,(dog & ear) | (dog & mouth) | (dog & nose) | (ear & necktie) | (mouth & necktie) | (necktie & nose),(dog | necktie) & (ear | nose | mouth),0.3404,0.3316,0.3496,916,2762,2620,85624,624,21829,0.9927650496
crouch,753,attr,F1,(bat & batter & catcher) | (bat & catcher & umpire) | (batter & catcher & umpire) | (batter & homeplate & umpire),(umpire & catcher & batter) | (umpire & catcher & bat) | (umpire & batter & homeplate) | (catcher & batter & bat),0.34,0.3043,0.3851,290,953,753,105330,401,2346,0.9962073564
watch,5324,obj,F1,(man & play) | (man & wrist) | (shirt & wrist) | (wear & wrist),(play | wrist) & (wrist | man) & (shirt | man | wear),0.3394,0.369,0.3142,1673,4534,5324,59691,509,47877,0.9915448505
nine,149,obj,F1,(eight & eleven) | (eight & six) | (eleven & six) | (six & twelve),(eleven | six) & (six | eight) & (eleven | eight | twelve),0.3393,0.5067,0.255,38,75,149,107375,83,619,0.9992276052
ceilingfan,105,obj,F1,(blade & coffeetable) | (blade & fan) | (blade & fireplace) | (coffeetable & fan) | (fan & footstool),(fan | blade) & (footstool | coffeetable | blade) & (fan | coffeetable | fireplace),0.339,0.4167,0.2857,30,72,105,105738,38,2301,0.9996407503
dugout,367,obj,F1,(ballplayer & bat) | (ballplayer & batter) | (bat & batter) | (bat & umpire) | (batter & umpire),(batter | bat) & (ballplayer | batter | umpire) & (ballplayer | bat | umpire),0.3388,0.2175,0.7657,281,1292,367,105718,29,2330,0.9997257605
deep-freeze,232,obj,F1,(electricrefrigerator & freezerdoor) | (electricrefrigerator & magnet) | (electricrefrigerator & refrigerator) | (freezerdoor & refrigerator) | (magnet & refrigerator) | (refrigerator & refrigeratordoor),(refrigerator | electricrefrigerator) & (freezerdoor | refrigerator | magnet) & (freezerdoor | electricrefrigerator | refrigeratordoor | magnet),0.3387,0.2367,0.5948,138,583,232,106670,21,1386,0.9998031699
parasail,152,obj,F1,(kite & parachute) | (kite & parasailer) | (kite & parasailing) | (kite & sail) | (parachute & sail),(sail | kite) & (parachute | kite) & (sail | parachute | parasailing | parasailer),0.3387,0.2864,0.4145,63,220,152,105671,21,2385,0.9998013095
bedspread,486,obj,F1,(bed & bedroom) | (bed & headboard) | (bed & nightstand) | (bed & quilt) | (bedroom & quilt),(quilt | bed) & (bed | bedroom) & (quilt | nightstand | headboard | bedroom),0.3379,0.2263,0.6667,324,1432,486,105097,36,2944,0.9996575766
picture,5542,obj,F1,(frame & framed) | (frame & table) | (frame & wall) | (framed & pillow) | (framed & table) | (framed & wall) | (pillow & wall),(framed | frame | wall) & (framed | frame | pillow) & (framed | wall | table) & (frame | wall | pillow | table),0.3372,0.3608,0.3165,1754,4862,5542,69298,1700,37079,0.9760556635
floret,138,obj,F1,(broccoli & broccolifloret) | (broccoli & chaff) | (brocolli & vegetable),(brocolli & vegetable) | (chaff & broccoli) | (broccoli & broccolifloret),0.3368,0.3203,0.3551,49,153,138,105760,1,2316,0.9999905447
reach,941,rel,F1,(ball & racket) | (ball & swing) | (court & tennisball) | (racket & tennisball) | (swing & tennisball),(tennisball | ball) & (tennisball | swing | racket) & (swing | court | racket),0.3358,0.2647,0.4591,432,1632,941,101718,372,5987,0.9963561563
flower,6429,obj,F1,(plant) | (vase),vase | plant,0.3355,0.3291,0.342,2199,6681,6429,97166,4230,6681,0.958282378
young,4748,attr,F1,(child & girl) | (child & hair) | (child & malechild) | (girl & hair) | (girl & malechild) | (hair & malechild) | (malechild & shirt),(malechild | girl | child) & (malechild | girl | hair) & (malechild | child | hair) & (shirt | girl | child | hair),0.3353,0.2641,0.4589,2179,8251,4748,69970,894,37213,0.9873842854
wiper,855,obj,F1,(bumper & windshield) | (train & windshield) | (windshield & windshieldwiper),windshield & (windshieldwiper | train | bumper),0.3351,0.286,0.4047,346,1210,855,100380,128,7569,0.9987264695
mirror,4689,obj,F1,(bathroom & contemplation) | (bathroom & faucet) | (bathroom & sink) | (contemplation & faucet) | (contemplation & sink) | (contemplation & tire) | (faucet & sink) | (faucet & tire),(faucet | sink | contemplation) & (faucet | bathroom | contemplation) & (faucet | sink | tire | bathroom) & (sink | tire | bathroom | contemplation),0.3349,0.4899,0.2544,1193,2435,4689,93186,1973,12918,0.9792662806
bedroom,451,obj,F1,(bed & bedspread) | (bed & quilt) | (bedspread & quilt) | (headboard & nightstand) | (nightstand & quilt),(quilt & nightstand) | (quilt & bed) | (quilt & bedspread) | (nightstand & headboard) | (bed & bedspread),0.3347,0.2397,0.5543,250,1043,451,105097,28,2952,0.9997336504
can,1591,obj,F1,(garbage) | (sodiumcarbonate) | (trash),sodiumcarbonate | garbage | trash,0.3347,0.348,0.3224,513,1474,1591,105525,1078,1474,0.9898877142
topping,679,obj,F1,(cheese & pizza) | (crust & melted) | (crust & pizza) | (melted & pizza),(pizza | crust) & (pizza | melted) & (cheese | crust | melted),0.3345,0.2542,0.489,332,1306,679,104678,208,3191,0.9980168945
silver,18599,attr,F1,(along & be & metallic) | (along & black & metallic) | (along & black & white) | (along & metallic & white) | (be & black & metallic) | (be & metallic & white) | (black & metallic & white),(metallic | white) & (metallic | along) & (metallic | black) & (white | along | black) & (white | along | be) & (white | black | be) & (along | black | be),0.3344,0.2261,0.6422,11944,52834,18599,3827,57,104193,0.9853244078
roman,397,attr,F1,clock & romannumeral,clock & romannumeral,0.3333,0.2967,0.3804,151,509,397,103879,10,4188,0.9999037434
onion,938,obj,F1,(bun & chopped) | (bun & pepper) | (bun & tomato) | (bun & vegetable) | (chopped & pepper) | (chopped & vegetable) | (pepper & tomato) | (pepper & vegetable) | (tomato & vegetable),(pepper | bun | vegetable) & (pepper | tomato | chopped | bun) & (pepper | tomato | chopped | vegetable) & (tomato | chopped | bun | vegetable),0.3329,0.2841,0.4019,377,1327,938,103143,172,4762,0.9983351885
teapot,258,obj,F1,(kettle & stove) | (kettle & tea) | (kettle & teacup) | (kettle & teakettle) | (stove & tea) | (stove & teakettle) | (tea & teacup) | (tea & teakettle),(tea | teakettle | kettle) & (tea | stove | kettle) & (tea | teacup | teakettle | stove) & (teacup | teakettle | stove | kettle),0.3327,0.3213,0.345,89,277,258,106264,102,1711,0.999041047
oar,185,obj,F1,(canoe & kayak) | (canoe & paddle) | (canoe & raft) | (kayak & paddle) | (kayak & raft) | (paddle & paddleboard) | (paddle & raft),(kayak | canoe | paddle) & (kayak | paddle | raft) & (canoe | paddle | raft) & (kayak | canoe | paddleboard | raft),0.3322,0.418,0.2757,51,122,185,107428,76,573,0.9992930496
framed,1580,attr,F1,(frame & painting) | (frame & picture) | (painting & picture) | (painting & pillow) | (picture & pillow) | (picture & sofa),(picture | painting) & (picture | frame | pillow) & (sofa | frame | pillow | painting),0.3314,0.2929,0.3816,603,2059,1580,96227,427,11423,0.9955821797
orange,17063,attr,F1,(black & red) | (black & yellow) | (blue & red) | (red & yellow) | (white & yellow),(red | yellow) & (red | white | black) & (yellow | blue | black),0.3311,0.2183,0.6855,11696,53586,17063,8131,326,99620,0.9614520516
stand,16034,attr,F1,(black & person) | (have & man) | (have & wear) | (man & person) | (man & wear) | (person & wear),(have & man) | (have & wear) | (man & wear) | (man & person) | (wear & person) | (black & person),0.331,0.229,0.5965,9565,41765,16034,15952,739,91386,0.955724642
stirrup,143,obj,F1,(bridle & horse & rider) | (bridle & horse & saddle) | (horse & rein & rider) | (horse & rein & saddle) | (horse & rider & saddle),horse & (saddle | rider) & (saddle | rein | bridle) & (rein | rider | bridle),0.3305,0.2788,0.4056,58,208,143,104840,9,3228,0.9999141623
mercantileestablishment,1199,obj,F1,(cabinet & electrical) | (cabinet & faucet) | (cabinet & plug) | (electrical & plug) | (electrical & sink) | (plug & sink),(faucet & cabinet) | (electrical & sink) | (electrical & plug) | (electrical & cabinet) | (sink & plug) | (plug & cabinet),0.33,0.3796,0.2919,350,922,1199,101531,402,6144,0.996056233
soup,293,obj,F1,(bowl & broth) | (bowl & spoon) | (broth & spoon),(bowl & broth) | (bowl & spoon) | (broth & spoon),0.3297,0.2314,0.5734,168,726,293,103279,28,4770,0.9997289632
face,8906,obj,F1,(ear & eye) | (ear & hand) | (ear & nose) | (eye & hand) | (eye & nose) | (hand & head) | (hand & nose) | (head & nose),(ear | hand | nose) & (eye | hand | nose) & (head | ear | eye | hand) & (head | ear | eye | nose),0.3294,0.252,0.4755,4235,16808,8906,65471,1791,40815,0.9733727811
with,114,attr,F1,ha,ha,0.3293,0.3037,0.3596,41,135,114,107869,73,135,0.9993237109
brick,6936,attr,F1,(building & sidewalk) | (building & window) | (sidewalk & window),(building & window) | (building & sidewalk) | (window & sidewalk),0.3288,0.2452,0.4987,3459,14105,6936,70752,1524,35801,0.9789141624
wiiremote,202,obj,F1,(accountant & remote) | (accountant & remotecontrol) | (accountant & wii) | (gamecontroller & remote) | (gamecontroller & remotecontrol) | (gamecontroller & wii) | (remote & wii),(gamecontroller | wii | accountant) & (gamecontroller | remote | accountant) & (wii | remote | remotecontrol),0.3284,0.2333,0.5545,112,480,202,106441,28,1608,0.9997370127
drawer,1668,obj,F1,(cabinet & counter) | (cabinet & kitchen) | (cabinet & knob) | (counter & knob) | (kitchen & stove),(knob & counter) | (knob & cabinet) | (stove & kitchen) | (kitchen & cabinet) | (counter & cabinet),0.3277,0.2877,0.3807,635,2207,1668,100536,600,6941,0.9940673944
fur,2088,obj,F1,(bear & ear) | (bear & paw) | (cat & nose) | (cat & paw) | (nose & paw),(cat & nose) | (cat & paw) | (ear & bear) | (nose & paw) | (bear & paw),0.3274,0.2705,0.4148,866,3202,2088,89133,393,18551,0.9956102138
walk,8903,attr,F1,(building & people) | (building & person) | (building & sidewalk) | (people & sidewalk) | (people & street) | (person & sidewalk) | (person & street),(people | building | person) & (people | sidewalk | person) & (building | street | sidewalk),0.3272,0.2828,0.3882,3456,12221,8903,59468,2450,46159,0.9604315385
wicker,549,attr,F1,(basket & shelf) | (basket & shockabsorber) | (basket & wickerbasket) | (basket & woven) | (shelf & woven),(basket | woven) & (basket | shelf) & (shockabsorber | wickerbasket | woven | shelf),0.3272,0.3469,0.3097,170,490,549,101355,143,6579,0.9985911052
flatscreen,423,attr,F1,(entertainmentcenter & television) | (fireplace & television) | (speaker & television) | (television & tvstand),television & (tvstand | entertainmentcenter | fireplace | speaker),0.327,0.284,0.3853,163,574,423,105096,56,2925,0.9994674376
spectator,979,obj,F1,(bleacher & crowd) | (bleacher & player) | (bleacher & watch) | (crowd & player) | (crowd & tennisplayer) | (crowd & watch) | (player & watch) | (tennisplayer & watch),(bleacher | watch | crowd) & (player | watch | crowd) & (bleacher | player | tennisplayer | watch) & (bleacher | player | tennisplayer | crowd),0.3267,0.2883,0.3769,369,1280,979,98959,192,8926,0.9980635596
fictile,6108,attr,F1,(bottle) | (container) | (cup),cup | bottle | container,0.3264,0.2621,0.4324,2641,10076,6108,94534,3467,10076,0.96462281
countertop,1270,obj,F1,(cabinet & sink) | (cabinet & stove) | (counter & kitchen) | (counter & sink) | (counter & stove) | (kitchen & sink) | (sink & stove),(cabinet | counter | sink) & (stove | kitchen | sink) & (stove | counter | sink) & (cabinet | stove | kitchen | counter),0.3258,0.2426,0.4961,630,2597,1270,100655,273,7149,0.9972951015
licenseplate,1798,obj,F1,(bus & headlight) | (bus & taillight) | (bus & windshield) | (headlight & taillight) | (taillight & tire) | (taillight & windshield) | (tire & windshield),(tire | taillight | bus) & (headlight | taillight | windshield) & (taillight | bus | windshield) & (tire | headlight | bus | windshield),0.3242,0.279,0.3871,696,2495,1798,96097,411,11569,0.9957412857
tooth,1098,obj,F1,(lip & smile) | (lip & toothbrush) | (mouth & smile) | (mouth & tongue) | (mouth & toothbrush) | (smile & toothbrush),(tongue & mouth) | (smile & toothbrush) | (smile & lip) | (smile & mouth) | (toothbrush & lip) | (toothbrush & mouth),0.3242,0.3317,0.3169,348,1049,1098,98498,214,9365,0.9978320772
foil,235,obj,F1,(aluminum & aluminumfoil) | (aluminum & bun) | (aluminum & hotdog) | (aluminum & tin) | (aluminumfoil & bun) | (aluminumfoil & hotdog) | (hotdog & tin),(aluminumfoil | aluminum | tin) & (aluminumfoil | aluminum | hotdog) & (aluminum | bun | hotdog) & (aluminumfoil | tin | bun | hotdog),0.3238,0.6375,0.217,51,80,235,106224,121,1732,0.9988621938
bottle,4780,obj,F1,(counter & fictile) | (counter & glass) | (counter & label) | (counter & table) | (fictile & glass) | (fictile & label) | (fictile & table) | (glass & label) | (glass & table) | (label & table),(counter & table) | (counter & glass) | (counter & label) | (counter & fictile) | (table & glass) | (table & label) | (table & fictile) | (glass & label) | (glass & fictile) | (label & fictile),0.3236,0.2569,0.4372,2090,8136,4780,81269,1081,25727,0.9868731026
long,15901,attr,F1,(black & hair) | (brown & hair) | (brown & large) | (hair & have) | (hair & large) | (have & large),(large | hair) & (have | brown | hair) & (large | have | brown | black),0.3228,0.2318,0.5317,8454,36474,15901,12163,545,95369,0.9571136292
outdoors,400,obj,F1,(child & necessitate & play) | (people & play & snow),(necessitate & play & child) | (play & snow & people),0.3227,0.7941,0.2025,81,102,400,84325,133,23619,0.9984252528
bridle,295,obj,F1,(horse & reign) | (horse & rein) | (horse & stirrup) | (rein & saddle),(saddle | horse) & (rein | horse) & (rein | reign | stirrup),0.3226,0.2842,0.3729,110,387,295,105201,14,2862,0.9998669391
stainless,284,attr,F1,(dishwasher & steel) | (kitchen & steel) | (microwave & steel) | (stainlesssteel & steel),steel & (stainlesssteel | microwave | dishwasher | kitchen),0.3226,0.3285,0.3169,90,274,284,104123,61,3893,0.9994144974
traffic,1207,attr,F1,(intersection & signal) | (intersection & streetlight) | (intersection & trafficlight) | (signal & street) | (signal & streetlight) | (signal & trafficlight) | (street & trafficlight),(signal | streetlight | trafficlight) & (signal | street | intersection) & (signal | intersection | trafficlight) & (streetlight | street | intersection | trafficlight),0.3219,0.2748,0.3886,469,1707,1207,96258,219,11600,0.9977300289
skater,497,obj,F1,(ramp & skate) | (ramp & skateboard) | (skate & trick) | (skateboard & skateboarder),(trick & skate) | (skateboard & skateboarder) | (skateboard & ramp) | (skate & ramp),0.3215,0.2194,0.6016,299,1363,497,104420,27,3630,0.9997414957
computermonitor,329,obj,F1,(computer & desktop & keyboard) | (computer & keyboard & monitor) | (computer & monitor & mouse) | (desktop & keyboard & monitor) | (desktop & keyboard & mouse),(computer | desktop) & (computer | keyboard) & (desktop | monitor) & (monitor | keyboard) & (keyboard | mouse) & (computer | monitor | mouse),0.3213,0.2399,0.4863,160,667,329,104838,21,3218,0.9997997311
watchband,1306,obj,F1,wrist,wrist,0.3213,0.2508,0.4472,584,2329,1306,105026,722,2329,0.9931724477
trash,347,attr,F1,(ashcan & can) | (ashcan & garbage) | (bin & can) | (can & garbage) | (can & rubbish),(can | ashcan) & (can | garbage) & (ashcan | rubbish | garbage | bin),0.32,0.2826,0.3689,128,453,347,103908,42,4127,0.9995959596
nitrogen,144,obj,F1,(iodine & oxygen) | (iodine & radius) | (iodine & thyroxine) | (iodine & vitamine) | (oxygen & vitamine) | (radius & thyroxine) | (thyroxine & vitamine),(oxygen | thyroxine | iodine) & (radius | vitamine | iodine) & (vitamine | thyroxine | iodine) & (oxygen | radius | vitamine | thyroxine),0.3197,0.39,0.2708,39,100,144,107330,64,683,0.9994040635
saunterer,327,obj,F1,(babybuggy) | (babystroller) | (push),babystroller | babybuggy | push,0.3196,0.283,0.367,120,424,327,107446,207,424,0.9980771553
coat,4044,obj,F1,(jacket & ski) | (jacket & snow) | (jacket & trouser) | (ski & snow) | (skier & snow) | (snow & trouser),(jacket | snow) & (trouser | ski | snow) & (trouser | ski | skier | jacket),0.3194,0.2726,0.3855,1559,5718,4044,86283,1219,20575,0.9860688899
chestofdrawers,451,obj,F1,(bed & drawer) | (bedroom & drawer),drawer & (bed | bedroom),0.319,0.3717,0.2794,126,339,451,103795,112,4170,0.998922113
cow,1733,obj,F1,(cattle) | (horn) | (pasture),cattle | pasture | horn,0.3185,0.2708,0.3866,670,2474,1733,104540,1063,2474,0.9899339981
skitow,216,obj,F1,(chairlift & lift) | (chairlift & skier) | (chairlift & slope) | (lift & skier) | (lift & skislope) | (lift & slope),(lift | chairlift) & (lift | skier | slope) & (skislope | chairlift | skier | slope),0.3183,0.453,0.2454,53,117,216,105708,47,2322,0.9995555766
axialrotation,598,obj,F1,(toiletpaper) | (toilettissue),toiletpaper | toilettissue,0.3173,0.2954,0.3428,205,694,598,106990,393,694,0.9963402028
church,417,obj,F1,(arch & cross) | (arch & steeple) | (arched & cross) | (arched & steeple) | (cross & steeple) | (cross & tower),(cross | steeple) & (arch | arched | cross) & (arch | arched | tower | steeple),0.3173,0.3369,0.2998,125,371,417,103369,101,4607,0.9990238717
complain,146,rel,F1,(kick & soccer) | (kick & soccerball) | (soccer & soccerball) | (soccer & soccerplayer) | (soccerball & soccerfield) | (soccerball & soccerplayer),(soccerball | soccer) & (soccerplayer | kick | soccerball) & (soccerplayer | kick | soccerfield | soccer),0.317,0.2736,0.3767,55,201,146,107498,54,525,0.9994979173
apple,1224,obj,F1,fruit,fruit,0.3162,0.2827,0.3587,439,1553,1224,105739,785,1553,0.9926307687
pan,1039,obj,F1,(cook & oven) | (cook & pizza) | (cook & pot) | (cook & stove) | (oven & pizza) | (oven & pot) | (pizza & pot) | (pizza & stove) | (pot & stove),(cook | pizza | pot) & (cook | oven | stove | pizza) & (cook | oven | stove | pot) & (oven | stove | pizza | pot),0.316,0.3658,0.2782,289,790,1039,102164,281,5632,0.9972570648
open,8748,attr,F1,(door) | (mouth) | (umbrella),mouth | door | umbrella,0.3157,0.2271,0.5174,4526,19929,8748,83926,4222,19929,0.9521032808
handle,8259,obj,F1,(cabinet & counter) | (cabinet & door) | (cabinet & floor) | (cabinet & silver) | (counter & door) | (counter & floor) | (counter & silver) | (door & floor) | (door & silver) | (floor & silver),(silver & floor) | (silver & door) | (silver & counter) | (silver & cabinet) | (floor & door) | (floor & counter) | (floor & cabinet) | (door & counter) | (door & cabinet) | (counter & cabinet),0.3154,0.297,0.3364,2778,9354,8259,70780,2722,34575,0.9629669941
transport,2988,rel,F1,(backpack & walk) | (backpack & woman) | (bag & umbrella) | (bag & walk) | (umbrella & walk),(walk & backpack) | (walk & umbrella) | (walk & bag) | (backpack & woman) | (umbrella & bag),0.3151,0.2954,0.3377,1009,3416,2988,76475,630,30972,0.9918293236
burger,136,obj,F1,(cheeseburger) | (hamburger),hamburger | cheeseburger,0.3145,0.3482,0.2868,39,112,136,107868,97,112,0.9991015607
depend_on,3418,rel,F1,(bicycle) | (horse) | (skateboard) | (wave),horse | skateboard | wave | bicycle,0.3145,0.1976,0.77,2632,13321,3418,93970,786,13321,0.9917050108
pilot,199,obj,F1,(aircraft & combatant) | (cockpit & combatant) | (cockpit & propeller),(propeller & cockpit) | (cockpit & combatant) | (combatant & aircraft),0.3143,0.2646,0.3869,77,291,199,106502,42,1533,0.9996057967
edge,4334,obj,F1,part,part,0.3138,0.2986,0.3306,1433,4799,4334,100377,2901,4799,0.9719107651
part,4799,obj,F1,edge,edge,0.3138,0.3306,0.2986,1433,4334,4799,100377,3366,4334,0.9675544374
chocolate,259,obj,F1,(cocoa & doughnut) | (cocoa & frost) | (cocoa & frosting) | (doughnut & frost),(frost | cocoa) & (doughnut | cocoa) & (frost | doughnut | frosting),0.3137,0.2323,0.4826,125,538,259,106212,57,1808,0.9994636253
teakettle,123,obj,F1,(kettle & stove) | (kettle & tea) | (kettle & teapot) | (stove & teapot),(kettle | stove) & (kettle | teapot) & (stove | tea | teapot),0.3136,0.2293,0.4959,61,266,123,106334,19,1724,0.9998213497
foot,7506,obj,F1,(arm & leg) | (hand & leg) | (hand & shoe) | (head & leg) | (head & shoe) | (leg & shoe),(leg | shoe) & (leg | hand | head) & (hand | head | shoe | arm),0.3135,0.2455,0.4337,3255,13257,7506,61906,1332,44839,0.9789367153
glaze,155,obj,F1,(cocoa & glassy) | (doughnut & glassy),glassy & (doughnut | cocoa),0.3131,0.2573,0.4,62,241,155,106514,56,1507,0.9994745238
short,8773,attr,F1,(grass & hair) | (grass & shirt) | (hair & man) | (hair & shirt),(grass | hair) & (shirt | hair) & (man | grass | shirt),0.3124,0.235,0.4659,4087,17392,8773,50347,1350,56380,0.973886299
vehicle,3420,obj,F1,(car & parked) | (car & road) | (car & truck) | (parked & street) | (parked & truck) | (road & truck),(parked & truck) | (parked & street) | (parked & car) | (road & truck) | (road & car) | (truck & car),0.3121,0.2218,0.5263,1800,8116,3420,85901,519,21657,0.9939944457
cap,5756,obj,F1,(hat & man) | (hat & player) | (hat & shoe) | (man & player) | (player & shoe) | (player & wear),(hat | player) & (player | shoe | man) & (hat | shoe | man | wear),0.312,0.2473,0.4227,2433,9840,5756,61080,920,46077,0.9851612903
traincar,724,obj,F1,(gravel & path) | (gravel & traintracks) | (train & traintrack) | (train & traintracks),(train & traintrack) | (train & traintracks) | (gravel & path) | (gravel & traintracks),0.312,0.227,0.4986,361,1590,724,101256,12,6809,0.9998815025
hold,623,rel,F1,(baseball & flip) | (baseball & frisbee) | (baseball & pitcher) | (flip & frisbee) | (flip & mound) | (flip & pitcher) | (frisbee & mound) | (mound & pitcher),(baseball | mound | flip) & (pitcher | frisbee | flip) & (baseball | pitcher | frisbee | mound),0.3117,0.3692,0.2697,168,455,623,103546,133,4398,0.9987171944
the,819,obj,F1,(a) | (an) | (is),an | is | a,0.3113,0.2614,0.3846,315,1205,819,106368,504,1205,0.9952840781
rein,227,obj,F1,(bridle & saddle) | (harness & horse) | (harness & saddle) | (horse & stirrup),(saddle & harness) | (saddle & bridle) | (harness & horse) | (stirrup & horse),0.3107,0.2455,0.4229,96,391,227,104997,6,3074,0.9999428588
seaport,163,obj,F1,(dock & marina) | (dock & mast) | (dock & sailboat) | (dock & ship) | (marina & mast) | (marina & ship),(dock | marina) & (mast | dock | ship) & (mast | sailboat | marina | ship),0.3103,0.2539,0.3988,65,256,163,106489,46,1542,0.999568217
goat,279,obj,F1,(horn & lamb) | (horn & mountaingoat) | (horn & random-accessmemory) | (horn & sheep),horn & (lamb | random-accessmemory | mountaingoat | sheep),0.31,0.3966,0.2545,71,179,279,104883,56,3138,0.9994663566
clockface,417,obj,F1,(clock & clocktower) | (clock & hourhand) | (clock & romannumeral) | (clocktower & romannumeral) | (hourhand & roman),(romannumeral & clocktower) | (romannumeral & clock) | (clocktower & clock) | (roman & hourhand) | (clock & hourhand),0.3096,0.2203,0.5204,217,985,417,103834,15,4228,0.9998555595
wool,408,obj,F1,sheep,sheep,0.3095,0.2024,0.6569,268,1324,408,106613,140,1324,0.9986885614
